crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
19663,MENG 4302,Introduction to Mechatronics,TuTh,10:30AM,11:20AM,STEM 3133,Jeffrey R Mountain,Spring 2023,100% F2F w/supplmtnl web,Opened
19664,MENG 4302,Introduction to Mechatronics,We,8:30AM,11:20AM,STEM 1109,Jeffrey R Mountain,Spring 2023,100% F2F w/supplmtnl web,Opened
26351,MENG 4331,Design of Machine Elements,MoWe,1:00PM,2:20PM,STEM 2103,Ariful Bhuiyan,Spring 2023,100% F2F w/supplmtnl web,Opened
19665,MENG 4341,Mechanical Engineering Capstone II,Fr,11:00AM,11:50AM,STEM 2103,Jeffrey R Mountain,Spring 2023,100% F2F w/supplmtnl web,Opened
19666,MENG 4341,Mechanical Engineering Capstone II,Tu,4:00PM,7:50PM,STEM 1115,Jeffrey R Mountain,Spring 2023,100% F2F w/supplmtnl web,Opened
19677,MENG 4344,Composite Materials,MoWe,11:30AM,12:50PM,STEM 2101,Youssef Khalid Alaoui Hamidi,Spring 2023,100% F2F w/supplmtnl web,Opened
19571,MENG 4391,Selected Topics in Mechanical Engineering,TuTh,8:30AM,9:50AM,STEM 2101,Mohsen Daghooghi,Spring 2023,100% F2F w/supplmtnl web,Opened
19572,MENG 4391,Selected Topics in Mechanical Engineering,MoWe,8:30AM,9:50AM,STEM 2103,Eugene Kenneth Ungar,Spring 2023,100% F2F w/supplmtnl web,Opened
19764,MENG 4391,Selected Topics in Mechanical Engineering,MoWe,7:00PM,8:20PM,STEM 3133,Kazi Md Masum Billah,Spring 2023,100% F2F w/supplmtnl web,Opened
20078,MGMT 1301,Business Principles,TuTh,11:30AM,12:50PM,Bayou Building 1217,Charles A Crocker,Spring 2023,< 50% online,Opened
20079,MGMT 1301,Business Principles,TDB,TDB,TDB,TBA,Skylar J Rolf,Spring 2023,100% Online,Closed
10201,MGMT 3301,Mgmt Theory And Practice,We,7:00PM,9:50PM,Bayou Building 2234,Skylar J Rolf,Spring 2023,< 50% online,Opened
10202,MGMT 3301,Mgmt Theory And Practice,TDB,TDB,TDB,TBA,Nelly Carmen Brierty,Spring 2023,100% Online,Closed
10204,MGMT 3301,Mgmt Theory And Practice,TuTh,11:30AM,12:50PM,Bayou Building 1218,Dina M Abdel-Zaher,Spring 2023,< 50% online,Opened
10205,MGMT 3301,Mgmt Theory And Practice,TDB,TDB,TDB,TBA,Nelly Carmen Brierty,Spring 2023,100% Online,Opened
10207,MGMT 3301,Mgmt Theory And Practice,TDB,TDB,TDB,TBA,Skylar J Rolf,Spring 2023,100% Online,Opened
10209,MGMT 3313,Organizational Comm,Th,7:00PM,9:50PM,Bayou Building 2236,Laura Guerrero,Spring 2023,< 50% online,Opened
10210,MGMT 3331,Human Resource Management,Tu,7:00PM,9:50PM,Bayou Building 2234,Farzaneh Noghani,Spring 2023,< 50% online,Opened
10211,MGMT 3331,Human Resource Management,TDB,TDB,TDB,TBA,Farzaneh Noghani,Spring 2023,100% Online,Closed
10213,MGMT 3341,"Human Resource Plan,Staff,Sel",TDB,TDB,TDB,TBA,Roxane Renee Johnson,Spring 2023,100% Online,Opened
10215,MGMT 3351,Wage And Salary Administration,We,7:00PM,9:50PM,Bayou Building 1313,Donna Stringer,Spring 2023,< 50% online,Opened
10216,MGMT 4312,Strategic Management,Mo,7:00PM,9:50PM,Bayou Building 1333,Vivien Jancenelle,Spring 2023,< 50% online,Opened
10218,MGMT 4312,Strategic Management,TDB,TDB,TDB,TBA,Robert McGlashan,Spring 2023,100% Online,Opened
10220,MGMT 4312,Strategic Management,TDB,TDB,TDB,TBA,Dorothy M Kirkman,Spring 2023,100% Online,Closed
10222,MGMT 4312,Strategic Management,TDB,TDB,TDB,TBA,Dorothy M Kirkman,Spring 2023,100% Online,Closed
10224,MGMT 4334,Leading Teams,TDB,TDB,TDB,TBA,Clifton O Mayfield,Spring 2023,100% Online,Opened
10228,MGMT 4354,Organizational Behavior Theory and Application,TDB,TDB,TDB,TBA,Silvana Chambers,Spring 2023,100% Online,Opened
10230,MGMT 4356,Employee Training and Organizational Development,TDB,TDB,TDB,TBA,Farzaneh Noghani,Spring 2023,100% Online,Opened
