crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
23928,CHEM 6838,Research Project II and Seminar,M,1900,2150,STEM 3133,Jack Y Lu,Fall 2023,100% F2F w/supplmtnl web,Opened
21047,CINF 1370,Introduction to Computer Information Systems,TH,1000,1120,Delta Building 234,Ross B. Niswanger,Fall 2023,100% F2F w/supplmtnl web,Opened
21048,CINF 3321,Information Systems Theory and Practice,W,1600,1850,Delta Building D201,Ross B. Niswanger,Fall 2023,100% F2F w/supplmtnl web,Opened
21044,CINF 3331,Business Data Communications,MW,1600,1720,Delta Building 119B,Xinying Liu,Fall 2023,100% F2F w/supplmtnl web,Opened
21045,CINF 4321,Enterprise Resource Planning Systems,M,1300,1550,Delta Building 204,Xinying Liu,Fall 2023,100% F2F w/supplmtnl web,Opened
21046,CINF 4324,Modern System Analysis and Design,T,1600,1850,Delta Building 204,Xinying Liu,Fall 2023,100% F2F w/supplmtnl web,Opened
21082,CINF 4364,Computer Systems Administration,M,1600,1850,Delta Building D214,Krishani D Abeysekera,Fall 2023,100% F2F w/supplmtnl web,Closed
25927,CINF 4381,Computer Forensics,T,1900,2150,TBA,Joshua Todd Baker,Fall 2023,100% F2F w/supplmtnl web,Closed
23736,CINF 4388,Senior Project in Computer Information Systems,T,1600,1850,Delta Building D241,Alfredo J Perez-Davila,Fall 2023,100% F2F w/supplmtnl web,Opened
23737,CINF 4388,Senior Project in Computer Information Systems,T,1900,2150,Delta Building D241,Alfredo J Perez-Davila,Fall 2023,100% F2F w/supplmtnl web,Opened
21051,CINF 4391,Advanced Topics in Computer Information Systems,H,1300,1550,Delta Building 242,Wei Wei,Fall 2023,100% F2F w/supplmtnl web,Opened
21050,CINF 5231,Strategic Information Systems,H,1900,2150,Delta Building 203,Wei Wei,Fall 2023,100% F2F w/supplmtnl web,Opened
21049,CINF 5234,Advanced Modern Systems Analysis and Design,H,1300,1550,DELTA 140,Ross B. Niswanger,Fall 2023,100% F2F w/supplmtnl web,Opened
20062,COMM 1307,Introduction to Mass Communication,M,1300,1550,Bayou Building 1335,Andrea Michea Baldwin,Fall 2023,100% F2F w/supplmtnl web,Opened
20063,COMM 1315,Public Speaking,MWF,1000,1050,Bayou Building 2235,Brent C Kice,Fall 2023,100% F2F w/supplmtnl web,Opened
